                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57604,                0.51473,                 1.0216,                0.88524,                 0.7609,                0.83656,                0.63619,                0.87196,                0.74998,                 1.2371,             0.00025005,             0.00025005,             0.00025005
                      2,                0.55632,                0.49094,                 1.0204,                0.86561,                0.75916,                0.82057,                0.61457,                 0.9074,                0.83472,                 1.2758,             0.00051165,             0.00051165,             0.00051165
                      3,                0.62699,                0.56109,                 1.0429,                0.85542,                0.74215,                0.80138,                0.59631,                0.94505,                0.86902,                 1.3411,             0.00076798,             0.00076798,             0.00076798
                      4,                 0.6584,                0.58881,                 1.0747,                 0.8684,                0.70462,                0.80239,                0.58825,                 1.0041,                0.88308,                 1.3638,               0.001019,               0.001019,               0.001019
                      5,                0.65334,                0.58173,                 1.0596,                0.86681,                 0.6608,                0.77895,                0.51646,                 1.2347,                   1.03,                 1.5937,              0.0012648,              0.0012648,              0.0012648
                      6,                0.65405,                0.58656,                 1.0462,                0.81857,                0.79365,                0.81795,                0.56963,                 1.0088,                0.99667,                 1.3436,              0.0015053,              0.0015053,              0.0015053
                      7,                0.69255,                0.62042,                 1.0877,                0.76962,                0.74885,                0.80831,                0.56299,                 1.0462,                0.91855,                 1.4757,               0.001568,               0.001568,               0.001568
                      8,                0.70451,                0.63869,                 1.0917,                0.82657,                0.70839,                0.80063,                0.56641,                 1.0597,                 1.0754,                 1.4444,              0.0015515,              0.0015515,              0.0015515
                      9,                0.73803,                0.66091,                 1.1141,                0.78781,                0.72788,                0.76505,                0.54557,                  1.122,                 1.0612,                 1.5094,               0.001535,               0.001535,               0.001535
                     10,                 0.7127,                  0.646,                    1.1,                0.84417,                0.69611,                0.77465,                0.55864,                 1.0362,                 1.0294,                  1.433,              0.0015185,              0.0015185,              0.0015185
                     11,                0.72358,                 0.6339,                 1.1176,                 0.8493,                0.71557,                  0.779,                0.55203,                 1.0464,                 1.0361,                  1.454,               0.001502,               0.001502,               0.001502
                     12,                0.69537,                0.61898,                 1.0842,                0.80691,                0.72901,                0.77613,                0.55024,                 1.0641,                 1.0243,                 1.4552,              0.0014855,              0.0014855,              0.0014855
                     13,                0.70628,                0.62721,                 1.1152,                0.80651,                0.73194,                0.78815,                0.54625,                 1.1278,                 1.0395,                 1.5857,               0.001469,               0.001469,               0.001469
                     14,                0.71118,                0.62326,                 1.1026,                0.84691,                0.72175,                0.80245,                0.50365,                 1.1946,                 1.0344,                 1.6361,              0.0014525,              0.0014525,              0.0014525
                     15,                0.69344,                0.62974,                 1.1074,                0.77338,                0.73161,                0.76235,                0.53458,                 1.0905,                  1.042,                 1.4028,               0.001436,               0.001436,               0.001436
                     16,                0.69091,                0.59178,                  1.081,                    0.8,                0.54232,                0.67722,                0.47284,                 1.1805,                  1.267,                  1.491,              0.0014195,              0.0014195,              0.0014195
                     17,                0.69363,                0.60973,                 1.0856,                0.76906,                0.62349,                0.69481,                0.43771,                 1.3214,                 1.3575,                 1.6155,              0.0014029,              0.0014029,              0.0014029
                     18,                0.70286,                0.62581,                 1.1088,                0.79003,                0.70487,                0.76963,                0.53319,                 1.0787,                 1.0655,                 1.4408,              0.0013864,              0.0013864,              0.0013864
                     19,                 0.6695,                0.59153,                  1.063,                0.77886,                0.74755,                0.76616,                  0.525,                 1.0436,                 1.0516,                 1.3752,              0.0013699,              0.0013699,              0.0013699
                     20,                0.68771,                0.59321,                 1.0769,                0.76198,                0.78234,                0.76429,                0.56832,                 1.0086,                0.97364,                 1.4044,              0.0013534,              0.0013534,              0.0013534
                     21,                0.65861,                0.58375,                 1.0649,                0.80055,                0.73712,                0.76497,                 0.5677,                 1.0174,                0.98053,                 1.3848,              0.0013369,              0.0013369,              0.0013369
                     22,                0.67977,                0.58431,                 1.0894,                 0.8372,                0.71531,                0.77346,                0.55248,                 1.0812,                 1.0916,                  1.435,              0.0013204,              0.0013204,              0.0013204
                     23,                0.66449,                0.57522,                 1.0702,                0.82449,                0.74796,                0.80541,                0.56357,                 1.0747,                0.89499,                 1.4813,              0.0013039,              0.0013039,              0.0013039
                     24,                0.67896,                0.61002,                 1.0897,                0.80487,                0.80466,                0.81194,                0.58235,                0.97261,                 0.8104,                 1.3905,              0.0012874,              0.0012874,              0.0012874
                     25,                0.66847,                 0.5814,                 1.0666,                0.80991,                 0.7056,                0.76141,                 0.5282,                 1.0886,                 1.1087,                 1.4592,              0.0012709,              0.0012709,              0.0012709
                     26,                0.63043,                0.55824,                 1.0432,                0.87969,                0.74733,                0.81686,                0.59894,                0.97541,                0.80255,                 1.3824,              0.0012544,              0.0012544,              0.0012544
                     27,                0.65056,                0.56793,                 1.0656,                0.84683,                 0.7078,                0.80053,                0.58645,                  1.019,                0.93814,                 1.4227,              0.0012379,              0.0012379,              0.0012379
                     28,                0.67633,                0.58408,                 1.0837,                0.83675,                 0.7555,                0.80242,                0.57241,                 1.0218,                0.97633,                 1.4185,              0.0012214,              0.0012214,              0.0012214
                     29,                 0.6613,                0.59078,                 1.0616,                0.84597,                0.76297,                 0.8091,                0.58106,                 1.0216,                0.85802,                 1.4114,              0.0012049,              0.0012049,              0.0012049
                     30,                0.61612,                0.54729,                 1.0384,                0.84014,                0.75178,                0.80021,                 0.5729,                0.96438,                0.78167,                 1.3373,              0.0011884,              0.0011884,              0.0011884
                     31,                0.63197,                0.53596,                  1.063,                0.81067,                0.71674,                0.78587,                 0.5538,                 1.0712,                0.96537,                 1.4687,              0.0011719,              0.0011719,              0.0011719
                     32,                0.64267,                 0.5433,                 1.0711,                0.79587,                0.73057,                0.77786,                0.55438,                 1.0232,                0.94367,                 1.4102,              0.0011554,              0.0011554,              0.0011554
                     33,                0.63604,                0.54527,                 1.0611,                0.88833,                0.73331,                0.78397,                0.55124,                 1.0654,                0.97964,                 1.4474,              0.0011389,              0.0011389,              0.0011389
                     34,                0.61822,                0.55447,                 1.0438,                0.86253,                0.72291,                0.78022,                0.57752,                 0.9851,                0.96571,                 1.3413,              0.0011224,              0.0011224,              0.0011224
                     35,                0.63716,                0.55171,                 1.0568,                  0.869,                0.71375,                 0.8073,                0.58633,                 0.9991,                0.86141,                 1.3305,              0.0011059,              0.0011059,              0.0011059
                     36,                0.63618,                0.57713,                 1.0562,                0.80456,                0.75995,                0.82222,                0.60484,                 1.0004,                0.82431,                 1.3615,              0.0010894,              0.0010894,              0.0010894
                     37,                0.64402,                0.55262,                 1.0515,                0.78915,                0.74956,                0.79937,                0.59818,                0.97623,                0.85171,                 1.4036,              0.0010729,              0.0010729,              0.0010729
                     38,                0.60899,                0.53019,                 1.0366,                0.86252,                0.68017,                0.79123,                0.58537,                0.99721,                 0.8832,                 1.3955,              0.0010564,              0.0010564,              0.0010564
                     39,                0.60128,                0.49899,                 1.0433,                0.83795,                0.72832,                0.79861,                0.57156,                 1.0727,                0.93799,                  1.423,              0.0010399,              0.0010399,              0.0010399
                     40,                0.58411,                0.50214,                  1.022,                0.80203,                  0.765,                0.81386,                0.60133,                0.99229,                0.81522,                 1.3909,              0.0010234,              0.0010234,              0.0010234
                     41,                0.59712,                0.50393,                 1.0339,                0.91251,                0.70004,                0.80476,                0.58325,                 1.0322,                0.90153,                 1.3775,              0.0010069,              0.0010069,              0.0010069
                     42,                0.60208,                 0.5131,                  1.032,                0.81194,                0.73617,                0.80144,                0.59622,                0.97497,                0.88992,                  1.302,             0.00099036,             0.00099036,             0.00099036
                     43,                0.59333,                0.48043,                 1.0241,                0.84395,                 0.7301,                0.80357,                0.60284,                 0.9908,                0.90501,                 1.3501,             0.00097386,             0.00097386,             0.00097386
                     44,                0.60169,                 0.5165,                 1.0397,                0.84803,                0.73907,                0.80957,                0.58651,                 1.0335,                 0.9384,                  1.371,             0.00095736,             0.00095736,             0.00095736
                     45,                0.63299,                0.51245,                 1.0461,                0.84603,                0.72998,                0.81104,                0.58761,                   1.01,                0.87374,                 1.3837,             0.00094085,             0.00094085,             0.00094085
                     46,                0.60513,                0.51739,                 1.0232,                 0.8341,                0.77924,                0.80535,                0.56969,                 1.0287,                0.83066,                 1.3877,             0.00092435,             0.00092435,             0.00092435
                     47,                0.58728,                0.49886,                 1.0214,                  0.879,                0.74209,                0.80836,                0.57635,                0.99797,                0.80681,                 1.3916,             0.00090785,             0.00090785,             0.00090785
                     48,                0.58126,                0.47581,                 1.0201,                0.82508,                0.80146,                0.81265,                0.58169,                0.98366,                0.84673,                 1.3543,             0.00089134,             0.00089134,             0.00089134
                     49,                0.60252,                  0.504,                 1.0328,                0.87886,                0.73507,                0.80843,                0.57901,                0.98796,                0.85161,                 1.3674,             0.00087484,             0.00087484,             0.00087484
