image_path,box,cleaned_text
IMG_2180.mov,559,155
IMG_2180.mov,557,154
IMG_2180.mov,552,160
IMG_2180.mov,544,163
IMG_2180.mov,538,162
IMG_2180.mov,535,162
IMG_2180.mov,531,161
IMG_2180.mov,529,163
IMG_2180.mov,528,160
IMG_2180.mov,527,160
IMG_2180.mov,526,158
IMG_2180.mov,526,160
IMG_2180.mov,525,165
IMG_2180.mov,526,163
IMG_2180.mov,528,160
IMG_2180.mov,525,162
IMG_2180.mov,524,160
IMG_2180.mov,522,154
IMG_2180.mov,519,157
IMG_2180.mov,517,161
IMG_2180.mov,514,157
IMG_2180.mov,513,160
IMG_2180.mov,510,154
IMG_2180.mov,509,162
IMG_2180.mov,496,162
IMG_2180.mov,483,151
IMG_2180.mov,335,171
IMG_2180.mov,299,172
IMG_2180.mov,293,180
IMG_2180.mov,287,172
IMG_2180.mov,276,173
IMG_2180.mov,271,167
IMG_2180.mov,262,164
IMG_2180.mov,259,166
IMG_2180.mov,254,166
IMG_2180.mov,248,167
IMG_2180.mov,241,168
IMG_2180.mov,81,103
IMG_2180.mov,156,170
IMG_2180.mov,88,164
IMG_2180.mov,87,165
IMG_2180.mov,79,165
IMG_2180.mov,70,168
IMG_2180.mov,60,168
IMG_2180.mov,54,169
IMG_2180.mov,45,166
IMG_2180.mov,40,164
IMG_2180.mov,30,167
IMG_2180.mov,21,167
IMG_2180.mov,15,167
IMG_2180.mov,6,168
IMG_2180.mov,0,163
IMG_2180.mov,516,209
IMG_2180.mov,514,210
IMG_2180.mov,512,210
IMG_2180.mov,511,209
IMG_2180.mov,510,209
IMG_2180.mov,508,208
IMG_2180.mov,507,209
IMG_2180.mov,505,209
IMG_2180.mov,502,208
IMG_2180.mov,497,209
IMG_2180.mov,495,208
IMG_2180.mov,491,208
IMG_2180.mov,488,207
IMG_2180.mov,484,199
IMG_2180.mov,483,203
IMG_2180.mov,479,203
IMG_2180.mov,478,197
IMG_2180.mov,473,191
IMG_2180.mov,469,188
IMG_2180.mov,465,187
IMG_2180.mov,458,190
IMG_2180.mov,453,190
IMG_2180.mov,450,189
IMG_2180.mov,445,185
IMG_2180.mov,444,189
IMG_2180.mov,441,190
IMG_2180.mov,439,191
IMG_2180.mov,436,191
IMG_2180.mov,428,189
IMG_2180.mov,427,187
IMG_2180.mov,421,187
IMG_2180.mov,416,187
IMG_2180.mov,412,185
IMG_2180.mov,408,185
IMG_2180.mov,404,185
IMG_2180.mov,400,185
IMG_2180.mov,397,183
IMG_2180.mov,395,181
IMG_2180.mov,389,183
IMG_2180.mov,386,185
IMG_2180.mov,381,184
IMG_2180.mov,378,184
IMG_2180.mov,372,183
IMG_2180.mov,366,185
IMG_2180.mov,361,183
IMG_2180.mov,360,184
IMG_2180.mov,357,182
IMG_2180.mov,353,181
IMG_2180.mov,351,180
IMG_2180.mov,345,181
IMG_2180.mov,342,176
IMG_2180.mov,337,172
IMG_2180.mov,334,167
IMG_2180.mov,331,167
IMG_2180.mov,325,161
IMG_2180.mov,324,164
IMG_2180.mov,314,165
IMG_2180.mov,316,165
IMG_2180.mov,312,166
IMG_2180.mov,47,163
IMG_2180.mov,123,161
IMG_2180.mov,273,160
IMG_2180.mov,268,159
IMG_2180.mov,262,152
IMG_2180.mov,557,185
IMG_2180.mov,554,184
IMG_2180.mov,249,140
IMG_2180.mov,550,177
IMG_2180.mov,5,123
IMG_2180.mov,548,171
IMG_2180.mov,241,141
IMG_2180.mov,547,171
IMG_2180.mov,238,141
IMG_2180.mov,547,170
IMG_2180.mov,233,141
IMG_2180.mov,545,170
IMG_2180.mov,229,139
IMG_2180.mov,542,170
IMG_2180.mov,224,140
IMG_2180.mov,541,169
IMG_2180.mov,220,140
IMG_2180.mov,536,168
IMG_2180.mov,217,139
IMG_2180.mov,532,168
IMG_2180.mov,132,134
IMG_2180.mov,528,168
IMG_2180.mov,197,138
IMG_2180.mov,527,166
IMG_2180.mov,195,135
IMG_2180.mov,524,164
