                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9464,                 2.6855,                  1.297,                0.00765,                0.66498,                0.29263,                0.21461,                0.78206,                 2.8177,                  1.152,             0.00025005,             0.00025005,             0.00025005
                      2,                0.92373,                 1.5379,                 1.2763,                0.91857,                 0.3069,                0.40355,                0.27686,                0.95312,                 2.3752,                  1.321,             0.00051165,             0.00051165,             0.00051165
                      3,                0.96867,                 1.4061,                 1.2877,                0.87166,                0.27014,                0.54719,                0.36199,                 1.0831,                 2.4087,                 1.4341,             0.00076798,             0.00076798,             0.00076798
                      4,                0.99623,                 1.3616,                 1.2865,                0.72646,                0.29221,                0.57691,                0.33701,                 1.3563,                 2.2659,                 1.9276,               0.001019,               0.001019,               0.001019
                      5,                0.99937,                 1.2813,                 1.3008,                0.62671,                0.37663,                0.48652,                 0.2676,                  1.491,                  2.415,                 1.9775,              0.0012648,              0.0012648,              0.0012648
                      6,                 1.0009,                 1.2708,                 1.2895,                0.80317,                0.36167,                0.50745,                 0.3071,                 1.3555,                 2.2093,                 1.7887,              0.0015053,              0.0015053,              0.0015053
                      7,                0.99266,                 1.2445,                  1.311,                0.70869,                0.67471,                0.68501,                0.44219,                 1.2789,                 1.6604,                 1.7636,               0.001568,               0.001568,               0.001568
                      8,                0.96557,                 1.1802,                 1.2878,                0.73198,                0.60223,                0.63693,                0.39234,                 1.3857,                 1.7406,                 1.7131,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0395,                 1.2018,                 1.3189,                0.75956,                0.58262,                0.67102,                0.41664,                 1.4452,                 1.5458,                 1.8103,               0.001535,               0.001535,               0.001535
                     10,                 1.0106,                 1.1669,                  1.296,                0.79801,                 0.6317,                0.71259,                0.46844,                 1.2714,                 1.4033,                 1.7069,              0.0015185,              0.0015185,              0.0015185
                     11,                0.95473,                 1.1387,                 1.2859,                0.80538,                0.69071,                0.72316,                0.49056,                 1.1767,                 1.2413,                 1.5565,               0.001502,               0.001502,               0.001502
                     12,                0.96544,                 1.1058,                 1.2773,                0.84723,                 0.6711,                 0.7549,                0.50291,                 1.2033,                 1.2959,                 1.5605,              0.0014855,              0.0014855,              0.0014855
                     13,                0.94857,                 1.0647,                 1.2895,                0.84653,                 0.6579,                0.77486,                0.48782,                  1.383,                 1.4747,                 1.7052,               0.001469,               0.001469,               0.001469
                     14,                0.96234,                 1.0384,                 1.2849,                0.73816,                0.71477,                0.75046,                0.49513,                 1.2609,                 1.2535,                 1.6239,              0.0014525,              0.0014525,              0.0014525
                     15,                0.95225,                 1.0554,                 1.2934,                0.78636,                0.68961,                0.75301,                0.47814,                 1.2617,                 1.3183,                 1.5841,               0.001436,               0.001436,               0.001436
                     16,                0.91579,                 1.0084,                 1.2409,                0.79804,                0.72797,                0.77524,                0.50521,                 1.1611,                 1.1246,                 1.5004,              0.0014195,              0.0014195,              0.0014195
                     17,                0.90624,                0.96962,                 1.2449,                0.84877,                0.66021,                0.77296,                0.51626,                 1.2291,                 1.1899,                 1.5114,              0.0014029,              0.0014029,              0.0014029
                     18,                0.89803,                0.98424,                 1.2582,                0.83477,                0.66704,                0.77017,                0.51413,                 1.1265,                 1.1462,                 1.5045,              0.0013864,              0.0013864,              0.0013864
                     19,                0.88813,                0.92889,                 1.2163,                0.80488,                0.65414,                0.77225,                0.53604,                 1.1088,                  1.203,                 1.5335,              0.0013699,              0.0013699,              0.0013699
                     20,                0.88743,                0.90778,                 1.2217,                0.77362,                 0.7253,                  0.767,                0.53342,                  1.098,                 1.1774,                 1.4735,              0.0013534,              0.0013534,              0.0013534
                     21,                0.89001,                 0.9093,                 1.2237,                0.83369,                0.74582,                0.81952,                0.54935,                 1.1521,                 1.0616,                 1.4969,              0.0013369,              0.0013369,              0.0013369
                     22,                0.87741,                0.91546,                 1.2211,                0.81544,                0.73825,                0.79246,                0.53688,                   1.14,                 1.1172,                  1.463,              0.0013204,              0.0013204,              0.0013204
                     23,                0.86581,                0.88843,                 1.2112,                0.81087,                0.71149,                0.76785,                0.53221,                 1.0404,                 1.1173,                 1.3965,              0.0013039,              0.0013039,              0.0013039
                     24,                0.87341,                0.89267,                 1.2164,                0.85175,                0.69594,                0.76371,                0.50975,                 1.0839,                 1.1038,                 1.4669,              0.0012874,              0.0012874,              0.0012874
                     25,                0.88903,                0.87756,                 1.2048,                0.80747,                0.76239,                0.77387,                0.54122,                 1.0751,                 1.0222,                 1.3971,              0.0012709,              0.0012709,              0.0012709
                     26,                 0.8172,                0.82044,                 1.1588,                0.84836,                0.70416,                 0.7898,                0.56314,                 1.0889,                  1.146,                 1.4352,              0.0012544,              0.0012544,              0.0012544
                     27,                0.80485,                0.82168,                 1.1696,                0.73544,                0.73267,                0.76541,                0.54863,                 1.0756,                 1.1266,                  1.427,              0.0012379,              0.0012379,              0.0012379
                     28,                0.84094,                0.81818,                 1.1941,                0.87319,                 0.7309,                0.78806,                0.56855,                 1.0827,                0.98065,                 1.4334,              0.0012214,              0.0012214,              0.0012214
                     29,                0.81283,                0.85683,                 1.1681,                0.83448,                0.71304,                0.74296,                0.51971,                 1.1072,                 1.1165,                 1.4371,              0.0012049,              0.0012049,              0.0012049
                     30,                0.78337,                0.77532,                 1.1563,                0.81527,                0.71375,                 0.7883,                0.52868,                 1.1512,                 1.0866,                 1.4767,              0.0011884,              0.0011884,              0.0011884
                     31,                0.80666,                0.78226,                 1.1844,                0.80621,                0.73728,                0.79003,                0.57729,                 1.0145,                0.97111,                 1.3422,              0.0011719,              0.0011719,              0.0011719
                     32,                0.80474,                0.77306,                 1.1776,                0.87186,                0.74371,                0.79987,                0.57262,                 1.0593,                0.94654,                 1.3827,              0.0011554,              0.0011554,              0.0011554
                     33,                0.77783,                0.74369,                  1.156,                0.86271,                 0.7382,                 0.7899,                0.56177,                0.99283,                0.92078,                 1.3315,              0.0011389,              0.0011389,              0.0011389
                     34,                0.78029,                0.76109,                 1.1464,                0.88534,                0.69288,                0.77165,                0.56144,                0.98205,                0.95879,                  1.341,              0.0011224,              0.0011224,              0.0011224
                     35,                0.78956,                0.75941,                 1.1603,                 0.8522,                0.70143,                0.79135,                0.57045,                0.98128,                0.95273,                 1.3307,              0.0011059,              0.0011059,              0.0011059
                     36,                 0.8007,                0.78759,                 1.1607,                0.83736,                0.75042,                 0.7878,                0.58301,                0.98481,                0.90842,                 1.3744,              0.0010894,              0.0010894,              0.0010894
                     37,                0.81092,                0.75806,                 1.1684,                0.90032,                0.67886,                 0.7865,                0.56499,                 1.0587,                 1.0101,                 1.4107,              0.0010729,              0.0010729,              0.0010729
                     38,                0.78015,                0.72787,                 1.1491,                0.89064,                0.69602,                0.78204,                0.56062,                 1.0964,                 1.0246,                 1.4106,              0.0010564,              0.0010564,              0.0010564
                     39,                0.74391,                0.69059,                 1.1323,                0.84416,                0.75924,                0.79549,                0.58806,                 1.0075,                0.87963,                 1.3608,              0.0010399,              0.0010399,              0.0010399
                     40,                0.71902,                 0.6954,                 1.0985,                0.83709,                0.78954,                 0.8116,                0.58377,                 1.0789,                0.88568,                 1.4321,              0.0010234,              0.0010234,              0.0010234
                     41,                0.73364,                0.68987,                 1.1218,                0.84599,                0.73445,                0.80936,                0.57741,                 1.0234,                0.91239,                 1.3334,              0.0010069,              0.0010069,              0.0010069
                     42,                0.72024,                0.67226,                  1.114,                0.85845,                0.74039,                0.80262,                0.56898,                 1.0329,                0.87402,                 1.3538,             0.00099036,             0.00099036,             0.00099036
                     43,                0.71549,                0.64892,                 1.1061,                0.82342,                0.79273,                0.81022,                0.57227,                 1.0486,                 0.8219,                 1.3834,             0.00097386,             0.00097386,             0.00097386
                     44,                0.71933,                0.66373,                 1.1139,                0.83393,                0.80393,                 0.8308,                 0.5639,                 1.0809,                0.83988,                 1.4023,             0.00095736,             0.00095736,             0.00095736
                     45,                0.74474,                0.65482,                 1.1236,                0.85667,                0.73992,                0.81522,                0.57731,                 1.0492,                0.85913,                 1.3785,             0.00094085,             0.00094085,             0.00094085
                     46,                0.71909,                0.64202,                 1.1003,                 0.8413,                0.75666,                0.81097,                0.53199,                 1.1709,                0.95881,                 1.4942,             0.00092435,             0.00092435,             0.00092435
                     47,                0.69828,                0.64736,                 1.0868,                0.84863,                 0.7916,                0.81872,                0.57304,                 1.0146,                0.89152,                 1.3912,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.7041,                0.65541,                 1.1012,                  0.899,                0.72493,                0.83007,                0.59011,                0.97866,                0.83149,                 1.3147,             0.00089134,             0.00089134,             0.00089134
                     49,                0.71195,                0.65448,                 1.0962,                0.79566,                0.78314,                0.80091,                0.57919,                 1.0221,                0.86433,                 1.3758,             0.00087484,             0.00087484,             0.00087484
                     50,                0.69997,                0.65701,                 1.0851,                 0.8601,                0.67235,                0.80519,                0.57877,                 1.0658,                0.96077,                 1.4482,             0.00085834,             0.00085834,             0.00085834
                     51,                0.69466,                0.63929,                 1.0962,                0.87004,                0.71489,                0.82572,                 0.6072,                 1.0192,                 0.9635,                  1.334,             0.00084184,             0.00084184,             0.00084184
                     52,                0.66603,                0.59902,                 1.0654,                0.82828,                0.77159,                0.81414,                0.58643,                 1.0172,                0.88635,                 1.3339,             0.00082533,             0.00082533,             0.00082533
                     53,                0.68466,                0.62149,                 1.0953,                0.81565,                0.80393,                0.84613,                0.61601,                0.97874,                0.80643,                 1.3094,             0.00080883,             0.00080883,             0.00080883
                     54,                0.65964,                0.59143,                 1.0804,                 0.8165,                0.77091,                 0.8378,                0.61084,                 0.9831,                0.81389,                 1.3338,             0.00079233,             0.00079233,             0.00079233
                     55,                0.67623,                0.61251,                 1.0913,                0.82526,                0.77033,                0.83629,                0.61483,                0.96383,                0.80248,                 1.3182,             0.00077582,             0.00077582,             0.00077582
                     56,                0.65769,                0.60202,                 1.0584,                0.83936,                0.82164,                0.85104,                0.62381,                0.96066,                 0.7695,                 1.3235,             0.00075932,             0.00075932,             0.00075932
                     57,                0.66587,                0.58432,                 1.0758,                0.86376,                0.79353,                0.84273,                0.62392,                0.91598,                0.74016,                 1.2644,             0.00074282,             0.00074282,             0.00074282
                     58,                0.64992,                0.57698,                 1.0606,                 0.8798,                 0.7981,                0.83751,                0.62071,                0.90068,                0.73901,                 1.2624,             0.00072631,             0.00072631,             0.00072631
                     59,                0.63468,                 0.5761,                 1.0562,                0.87631,                0.77592,                0.83826,                0.62368,                0.88311,                0.75333,                 1.2568,             0.00070981,             0.00070981,             0.00070981
                     60,                 0.6363,                0.59487,                 1.0585,                0.83525,                0.80122,                0.82385,                0.60613,                0.95648,                0.80247,                 1.2809,             0.00069331,             0.00069331,             0.00069331
                     61,                0.65299,                0.58654,                 1.0824,                0.87044,                0.77995,                0.82185,                0.59124,                0.99356,                 0.7947,                 1.2988,              0.0006768,              0.0006768,              0.0006768
                     62,                0.65394,                0.56608,                 1.0613,                0.85338,                 0.7667,                 0.8443,                0.62527,                0.93432,                0.80314,                 1.2454,              0.0006603,              0.0006603,              0.0006603
                     63,                0.66623,                0.59374,                  1.066,                0.83649,                0.83227,                0.85607,                0.63432,                0.90982,                0.75221,                 1.2441,              0.0006438,              0.0006438,              0.0006438
